gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,Both,24,over21,10,10861,593,9,true,false,false,1,3,4,2
Female,Male,21,under21,21,52465,3739,4,true,false,true,1,3,4,2
Female,Male,19,under21,5,17289,734,1,true,false,false,1,3,4,2
Female,Male,21,under21,10,8334,290,0,false,false,false,0,3,4,2
Female,Male,24,over21,4,1076,20,2,true,true,true,1,2,2,1
Female,Both,22,over21,8,19690,551,13,true,false,true,1,3,4,2
Female,Male,22,over21,6,43387,1854,12,true,true,true,1,3,4,2
Female,None,20,under21,19,28293,1027,2,false,false,false,1,3,4,2
Female,Male,24,over21,17,43796,2750,2,true,true,true,1,3,4,2
Female,None,23,over21,24,23679,1084,12,true,true,false,1,3,4,2
Female,Male,19,under21,7,5101,158,1,true,false,false,1,3,4,2
Female,Male,20,under21,7,31221,1117,6,true,true,true,1,3,4,2
Female,Male,22,over21,3,9896,413,2,false,true,false,1,3,4,1
Female,Male,20,under21,4,9850,241,13,true,false,false,1,3,4,1
Female,Male,21,under21,5,11895,730,0,true,false,true,0,3,4,2
Female,Male,19,under21,4,21224,316,0,true,false,false,0,3,4,1
Female,Male,19,under21,9,4335,355,91,true,false,false,1,3,4,2
Female,Male,22,over21,7,26483,746,3,true,true,false,1,3,4,2
Female,Both,19,under21,3,780,22,0,false,true,true,0,2,2,1
Female,Male,19,under21,4,12754,644,0,true,false,false,0,3,4,1
Female,Male,26,over21,4,3441,88,3,false,false,true,1,2,3,1
Female,Male,19,under21,10,18731,644,3,true,false,false,1,3,4,2
Female,Male,21,under21,16,5450,298,15,true,false,false,1,3,4,2
Female,None,19,under21,1,29903,2146,0,true,true,false,0,3,4,1
Female,Male,23,over21,13,50275,3687,0,true,true,true,0,3,4,2
Female,Male,24,over21,11,14526,1116,19,false,false,true,1,3,4,2
Female,Male,24,over21,15,3769,276,2,true,true,false,1,3,3,2
Female,None,22,over21,6,14082,667,12,true,true,false,1,3,4,2
Female,Male,20,under21,6,7662,189,148,true,false,false,1,3,4,2
Female,Male,19,under21,6,7571,396,7,false,false,true,1,3,4,2
Female,None,19,under21,13,7842,142,5,true,true,false,1,3,4,2
Female,Male,23,over21,4,3959,188,0,true,false,false,0,3,3,1
Female,None,23,over21,1,1797,40,3,false,false,true,1,2,3,1
Female,Male,20,under21,6,30847,1861,43,true,false,false,1,3,4,2
Female,Male,23,over21,2,12671,338,0,true,false,true,0,3,4,1
Female,Male,20,under21,11,7465,247,2,true,true,false,1,3,4,2
Female,Male,20,under21,12,23168,520,0,true,false,false,0,3,4,2
Female,Male,25,over21,25,27375,885,12,false,false,true,1,3,4,2
Female,Male,20,under21,12,15236,764,65,true,false,false,1,3,4,2
Female,None,19,under21,5,1167,29,47,true,true,true,1,2,2,2
Female,None,19,under21,11,22226,2338,1,true,true,true,1,3,4,2
Female,Male,22,over21,4,17971,657,0,false,false,true,0,3,4,1
Female,Male,20,under21,5,19653,759,1,false,false,true,1,3,4,2
Female,Male,19,under21,11,13194,225,8,true,true,false,1,3,4,2
Female,Male,22,over21,13,47475,2137,0,true,true,false,0,3,4,2
Female,Male,21,under21,14,24369,1559,12,true,true,true,1,3,4,2
Female,Male,22,over21,3,1359,42,0,true,false,false,0,2,3,1
Female,Male,24,over21,9,7014,216,2,true,true,false,1,3,4,2
Female,Male,23,over21,18,20823,864,64,true,true,true,1,3,4,2
Female,Male,19,under21,5,12344,234,26,true,false,false,1,3,4,2
Female,Male,21,under21,5,3808,120,1,true,false,false,1,3,3,2
Female,Male,19,under21,6,1934,57,0,true,false,false,0,2,3,2
Female,Male,19,under21,9,3217,180,3,true,true,true,1,3,3,2
Female,Male,24,over21,4,14267,670,0,false,false,true,0,3,4,1
Female,Male,22,over21,5,22443,475,0,true,false,false,0,3,4,2
Female,Male,19,under21,9,11909,242,0,false,false,true,0,3,4,2
Female,Male,19,under21,11,6819,164,11,true,true,true,1,3,4,2
Female,Male,19,under21,9,5270,64,17,false,true,true,1,2,4,2
Female,Male,25,over21,3,44,3,0,false,false,true,0,1,1,1
Female,Male,24,over21,6,24877,1414,119,true,true,true,1,3,4,2
Female,Female,22,over21,4,690,6,3,false,true,false,1,1,2,1
Female,Male,21,under21,3,1058,62,1,true,false,false,1,2,2,1
Female,Male,21,under21,20,44883,3556,14,false,false,true,1,3,4,2
